title,studio,lifetime_gross,year
WALL-E,Disney,223808164,2008
Big Hero 6,Disney,222527828,2014
Mission: Impossible - Fallout,Paramount,220159104,2018
National Treasure: Book of Secrets,Disney,219964115,2007
Alvin and the Chipmunks: The Squeakquel,Fox,219614612,2009
Mrs. Doubtfire,Fox,219195243,1993
Beauty and the Beast,Disney,218967620,1991
Ted,Universal,218815487,2012
King Kong,Universal,218080025,2005
Ghost,Paramount,217631306,1990
How to Train Your Dragon,Paramount,217581231,2010
The Da Vinci Code,Sony,217536138,2006
Aladdin,Disney,217350219,1992
Alvin and the Chipmunks,Fox,217326974,2007
Saving Private Ryan,DreamWorks,217049603,1998
Ant-Man and the Wasp,Disney,216648740,2018
Bohemian Rhapsody,Fox,216428042,2018
Madagascar 3: Europe's Most Wanted,Paramount,216391482,2012
Kung Fu Panda,Paramount,215434591,2008
Mission: Impossible II,Paramount,215409889,2000
A Star is Born (2018),WB,215288866,2018
X2: X-Men United,Fox,214949694,2003
Dr. Seuss' The Lorax,Universal,214030500,2012
Solo: A Star Wars Story,Disney,213767512,2018
Venom (2018),Sony,213515506,2018
300,WB,210614939,2007
Fast Five,Universal,209837675,2011
Coco,Disney,209726015,2017
Mission: Impossible - Ghost Protocol,Paramount,209397903,2011
Sherlock Holmes,WB,209028679,2009
Dawn of the Planet of the Apes,Fox,208545589,2014
Batman Begins,WB,206852432,2005
Charlie and the Chocolate Factory,WB,206459076,2005
Ratatouille,Disney,206445654,2007
Thor: The Dark World,Disney,206362140,2013
The Amazing Spider-Man 2,Sony,202853933,2014
World War Z,Paramount,202359711,2013
The Mummy Returns,Universal,202019785,2001
Armageddon,Disney,201578182,1998
Cinderella (2015),Disney,201151353,2015
Ralph Breaks the Internet,Disney,201091711,2018
Tangled,Disney,200821936,2010
Godzilla (2014),WB,200676069,2014
Superman Returns,WB,200081192,2006
Spectre,Sony,200074609,2015
Pearl Harbor,Disney,198542554,2001
Monsters Vs. Aliens,Paramount,198351526,2009
Happy Feet,WB,198000317,2006
Indiana Jones and the Last Crusade,Paramount,197171806,1989
