title,studio,lifetime_gross,year
John Wick: Chapter Two,Lionsgate,92029184,2017
Star Trek: First Contact,Paramount,92027888,1996
Think Like a Man,Screen Gems,91547205,2012
Kindergarten Cop,Universal,91457688,1990
The Haunting,DreamWorks,91411151,1999
Crimson Tide,Disney,91387195,1995
Ride Along 2,Universal,91221830,2016
Stepmom,Sony,91137662,1998
Save the Last Dance,Paramount,91057006,2001
The Scorpion King,Universal,91047077,2002
Prince of Persia: The Sands of Time,Disney,90759676,2010
Antz,DreamWorks,90757863,1998
The Game Plan,Disney,90648202,2007
"Me, Myself and Irene",Fox,90570999,2000
High School Musical 3: Senior Year,Disney,90559416,2008
Tyler Perry's Madea Goes to Jail,Lionsgate,90508336,2009
Space Cowboys,WB,90464773,2000
Space Jam,WB,90418342,1996
Get Hard,WB,90411453,2015
Red,Summit,90380162,2010
Planes,Disney,90288712,2013
Mystic River,WB,90135191,2003
Terminator: Genisys,Paramount,89760956,2015
Flightplan,Disney,89707299,2005
Father of the Bride,Disney,89325780,1991
The Emperor's New Groove,Disney,89302687,2000
The Lone Ranger,Disney,89302115,2013
Taken 3,Fox,89256424,2015
Don't Breathe,Screen Gems,89217875,2016
Oblivion,Universal,89107235,2013
The Ugly Truth,Sony,88915214,2009
Percy Jackson & The Olympians: The Lightning Thief,Fox,88768303,2010
Failure to Launch,Paramount,88715192,2006
The Muppets,Disney,88631237,2011
Inside Man,Universal,88513495,2006
Waterworld,Universal,88246220,1995
Starsky and Hutch,WB,88237754,2004
Along Came Polly,Universal,88097164,2004
The Hand That Rocks the Cradle,Disney,88036683,1992
Back to the Future Part III,Universal,87727583,1990
Entrapment,Fox,87704396,1999
Pineapple Express,Sony,87341380,2008
Miss Peregrine's Home for Peculiar Children,Fox,87242834,2016
Sisters,Universal,87044645,2015
The Naked Gun 2 1/2: The Smell of Fear,Paramount,86930411,1991
The Campaign,WB,86907746,2012
The War of the Roses,Fox,86888546,1989
Presumed Innocent,WB,86303188,1990
The Accountant,WB,86260045,2016
Dumb and Dumber To,Universal,86208010,2014
The Emoji Movie,Sony,86089513,2017
Mean Girls,Paramount,86058055,2004
Annie (2014),Sony,85911262,2014
Alvin and the Chipmunks: The Road Chip,Fox,85886987,2015
Fury (2014),Sony,85817906,2014
Pokemon: The First Movie,WB,85744662,1999
Alita: Battle Angel,Fox,85710210,2019
Real Steel,Disney,85468508,2011
The SpongeBob SquarePants Movie,Paramount,85417988,2004
Power Rangers (2017),Lionsgate,85364450,2017
Brother Bear,Disney,85336277,2003
Anchorman: The Legend of Ron Burgundy,DreamWorks,85288303,2004
Open Season,Sony,85105259,2006
Green Book,Universal,85080171,2018
The Expendables 2,Lionsgate,85028192,2012
Dangerous Minds,Disney,84919401,1995
Paranormal Activity 2,Paramount,84752907,2010
Tammy,WB,84525432,2014
The Santa Clause 3: The Escape Clause,Disney,84500122,2006
Ferdinand,Fox,84410380,2017
"Crazy, Stupid, Love.",WB,84351197,2011
Annabelle,WB,84273813,2014
Scooby-Doo 2: Monsters Unleashed,WB,84216833,2004
Atlantis: The Lost Empire,Disney,84056472,2001
The Other Woman (2014),Fox,83911193,2014
The X-Files,Fox,83898313,1998
Up in the Air,Paramount,83823381,2009
Wrath of the Titans,WB,83670083,2012
Under Siege,WB,83563139,1992
Battle: Los Angeles,Sony,83552429,2011
Die Hard,Fox,83519093,1988
Patriot Games,Paramount,83351587,1992
Penguins of Madagascar,Fox,83350911,2014
Saving Mr. Banks,Disney,83301580,2013
Smallfoot,WB,83240103,2018
Turbo,Fox,83028128,2013
Disclosure,WB,83015089,1994
Charlotte's Web (2006),Paramount,82985708,2006
Are We There Yet?,Sony,82674398,2005
Days of Thunder,Paramount,82670733,1990
The Descendants,Fox,82584160,2011
Cheaper by the Dozen 2,Fox,82571173,2005
Mr. Holland's Opus,Disney,82569971,1995
Fried Green Tomatoes,Universal,82418501,1991
Let's Be Cops,Fox,82390774,2014
Beowulf,Paramount,82280579,2007
Bridge to Terabithia,Disney,82272442,2007
The Pink Panther (2006),Sony,82226474,2006
Teenage Mutant Ninja Turtles: Out of the Shadows,Paramount,82051601,2016
The Post,Fox,81903458,2017
Maze Runner: The Scorch Trials,Fox,81697192,2015
Eight Below,Disney,81612565,2006
Unstoppable,Fox,81562942,2010
Payback,Paramount,81526121,1999
Ted 2,Universal,81476385,2015
The Talented Mr. Ripley,Paramount,81298265,1999
School of Rock,Paramount,81261177,2003
Snow Dogs,Disney,81172560,2002
21,Sony,81159365,2008
While You Were Sleeping,Disney,81057016,1995
Congo,Paramount,81022101,1995
Jimmy Neutron: Boy Genius,Paramount,80936232,2001
Another 48 HRS.,Paramount,80818974,1990
Eat Pray Love,Sony,80574010,2010
Zookeeper,Sony,80360843,2011
Alien Vs. Predator,Fox,80282231,2004
What Happens in Vegas,Fox,80277646,2008
The Dukes of Hazzard,WB,80270227,2005
Saw III,Lionsgate,80238724,2006
The Mummy (2017),Universal,80227895,2017
Disturbia,Paramount,80209692,2007
Nacho Libre,Paramount,80197993,2006
Jumper,Fox,80172128,2008
Goosebumps,Sony,80080379,2015
Jack Reacher,Paramount,80070736,2012
Cloverfield,Paramount,80048433,2008
Dear John,Screen Gems,80014842,2010
Knowing,Summit,79957634,2009
War Horse,Disney,79884879,2011
Dark Shadows,WB,79727149,2012
Hannah Montana The Movie,Disney,79576189,2009
The Day the Earth Stood Still (2008),Fox,79366978,2008
The Purge: Election Year,Universal,79213375,2016
Cape Fear,Universal,79091969,1991
Men in Black International,Sony,79017701,2019
The Naked Gun: From the Files of Police Squad!,Paramount,78756177,1988
Pixels,Sony,78747585,2015
City of Angels,WB,78685114,1998
A.I. Artificial Intelligence,WB,78616689,2001
Cocktail,Disney,78222753,1988
We Were Soldiers,Paramount,78122718,2002
Tower Heist,Universal,78046570,2011
The Monuments Men,Sony,78031620,2014
Man on Fire,Fox,77911774,2004
The Terminal,DreamWorks,77872883,2004
Backdraft,Universal,77868585,1991
Free Willy,WB,77698625,1993
The Adventures of Tintin,Paramount,77591831,2011
Night School (2018),Universal,77339130,2018
Parental Guidance,Fox,77267296,2012
Where the Wild Things Are,WB,77233467,2009
The A-Team,Fox,77222099,2010
U-571,Universal,77122415,2000
Alice Through the Looking Glass,Disney,77041381,2016
27 Dresses,Fox,76808654,2008
Training Day,WB,76631907,2001
Father of the Bride Part II,Disney,76594107,1995
Rugrats in Paris: The Movie,Paramount,76507756,2000
Knight & Day,Fox,76423035,2010
White Men Can't Jump,Fox,76253806,1992
Pete's Dragon (2016),Disney,76233151,2016
The Ring Two,DreamWorks,76231249,2005
Hellboy II: The Golden Army,Universal,75986503,2008
Conspiracy Theory,WB,75982834,1997
Constantine,WB,75976178,2005
The Haunted Mansion,Disney,75847266,2003
The Family Man,Universal,75793305,2000
The Intern,WB,75764672,2015
Star Trek: Generations,Paramount,75671125,1994
Contagion,WB,75658097,2011
"You, Me and Dupree",Universal,75628110,2006
We Bought a Zoo,Fox,75624550,2011
2 Guns,Universal,75612460,2013
Braveheart,Paramount,75609945,1995
Moneyball,Sony,75605492,2011
The Rookie,Disney,75600072,2002
Zombieland,Sony,75590286,2009
Old School,DreamWorks,75585093,2003
Any Given Sunday,WB,75530832,1999
The Last of the Mohicans,Fox,75505856,1992
The Hitman's Bodyguard,Lionsgate,75468583,2017
The Girl on the Train (2016),Universal,75395035,2016
The Horse Whisperer,Disney,75383563,1998
Garfield: The Movie,Fox,75369589,2004
Ray,Universal,75331600,2004
Tim Burton's The Nightmare Before Christmas,Disney,75082668,1993
The Exorcism of Emily Rose,Screen Gems,75072454,2005
Eragon,Fox,75030163,2006
Star Trek VI: The Undiscovered Country,Paramount,74888996,1991
Ladder 49,Disney,74541707,2004
Four Brothers,Paramount,74494381,2005
"Six Days, Seven Nights",Disney,74339294,1998
Alien: Covenant,Fox,74262031,2017
Beetlejuice,WB,74220408,1988
Jack and Jill,Sony,74158157,2011
Oliver & Company,Disney,74151346,1988
Along Came a Spider,Paramount,74078174,2001
Captain Underpants: The First Epic Movie,Fox,73921000,2017
Hugo,Paramount,73864507,2011
Christmas with the Kranks,Sony,73780539,2004
Monster House,Sony,73661010,2006
Deep Blue Sea,WB,73648142,1999
Spirit: Stallion of the Cimarron,DreamWorks,73280117,2002
Tyler Perry's A Madea Family Funeral,Lionsgate,73257045,2019
Hollow Man,Sony,73209340,2000
Boo! A Madea Halloween,Lionsgate,73206343,2016
White House Down,Sony,73103784,2013
John Carter,Disney,73078100,2012
Hotel for Dogs,Paramount,73034460,2009
Dinner for Schmucks,Paramount,73026337,2010
Justin Bieber: Never Say Never,Paramount,73013910,2011
Jackass: Number Two,Paramount,72778712,2006
The Interpreter,Universal,72708161,2005
Hercules (2014),Paramount,72688614,2014
Storks,WB,72679278,2016
Barnyard: The Original Party Animals,Paramount,72637803,2006
I Know What You Did Last Summer,Sony,72586134,1997
Bridge of Spies,Disney,72313754,2015
Dolphin Tale,WB,72286779,2011
Vantage Point,Sony,72266306,2008
Ace Ventura: Pet Detective,WB,72217396,1994
Michael Jackson's This Is It,Sony,72091016,2009
10 Cloverfield Lane,Paramount,72082998,2016
Fred Claus,WB,72006777,2007
The Purge: Anarchy,Universal,71962800,2014
RV,Sony,71726025,2006
Mama,Universal,71628180,2013
Three Men and a Little Lady,Disney,71609321,1990
Galaxy Quest,DreamWorks,71583916,1999
Grumpier Old Men,WB,71518503,1995
The Bridges of Madison County,WB,71516617,1995
Sideways,Fox,71503593,2004
"I Love You, Man",Paramount,71440011,2009
Christmas Vacation,WB,71319526,1989
The Spiderwick Chronicles,Paramount,71195053,2008
The Score,Paramount,71107711,2001
Turner & Hooch,Disney,71079915,1989
Paul Blart: Mall Cop 2,Sony,71038190,2015
The Smurfs 2,Sony,71017784,2013
Bird on a Wire,Universal,70978012,1990
Annabelle Comes Home,WB,70970112,2019
Shallow Hal,Fox,70839203,2001
White Chicks,Sony,70831760,2004
Broken Arrow (1996),Fox,70770147,1996
No Strings Attached,Paramount,70662220,2011
The Best Man Holiday,Universal,70525195,2013
V for Vendetta,WB,70511035,2006
JFK,WB,70405498,1991
Shaft,Paramount,70334258,2000
World Trade Center,Paramount,70278893,2006
The Big Short,Paramount,70259870,2015
Fool's Gold,WB,70231041,2008
Star Trek: Insurrection,Paramount,70187658,1998
Grumpy Old Men,WB,70172621,1993
Big Momma's House 2,Fox,70165972,2006
Boomerang,Paramount,70052444,1992
Born on the Fourth of July,Universal,70001698,1989
Seven Pounds,Sony,69951824,2008
Swordfish,WB,69772969,2001
Disney's The Kid,Disney,69691949,2000
Nine Months,Fox,69684532,1995
Divine Secrets of the Ya-Ya Sisterhood,WB,69599016,2002
The First Purge,Universal,69488745,2018
Hot Shots!,Fox,69467617,1991
Vertical Limit,Sony,69243859,2000
Game Night,WB,69179066,2018
Guess Who,Sony,68915888,2005
Cool Runnings,Disney,68856263,1993
Sahara,Paramount,68671925,2005
Book Club,Paramount,68566296,2018
Percy Jackson: Sea of Monsters,Fox,68559554,2013
The House With A Clock In Its Walls,Universal,68549695,2018
Road Trip,DreamWorks,68540777,2000
Blue Streak,Sony,68518533,1999
Skyscraper,Universal,68420120,2018
Bring It On,Universal,68379000,2000
Obsessed,Screen Gems,68261644,2009
Mr. Popper's Penguins,Fox,68224452,2011
Insidious: The Last Key,Universal,67745330,2018
Outbreak,WB,67659560,1995
A Perfect Murder,WB,67638368,1998
The Tourist,Sony,67631157,2010
This Is 40,Universal,67544505,2012
Heat,WB,67436818,1995
Holes,Disney,67406573,2003
Instant Family,Paramount,67363237,2018
Insomnia,WB,67355513,2002
A Good Day to Die Hard,Fox,67349198,2013
Hidalgo,Disney,67303450,2004
Role Models,Universal,67294270,2008
Lights Out,WB,67268835,2016
Coach Carter,Paramount,67264877,2005
Hacksaw Ridge,Lionsgate,67209615,2016
Race to Witch Mountain,Disney,67172594,2009
The Forgotten,Sony,67133509,2004
Dante's Peak,Universal,67127760,1997
The Bounty Hunter,Sony,67061228,2010
Waiting to Exhale,Fox,67052156,1995
102 Dalmatians,Disney,66957026,2000
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Disney,66954149,2014
Kangaroo Jack,WB,66934963,2003
End of Days,Universal,66889043,1999
The Mexican,DreamWorks,66845033,2001
Changing Lanes,Paramount,66818548,2002
Big Fish,Sony,66809693,2003
Uncle Buck,Universal,66758538,1989
The Godfather Part III,Paramount,66666062,1990
Charlie Wilson's War,Universal,66661095,2007
Legends of the Fall,Sony,66638883,1994
Contraband,Universal,66528000,2012
The Bone Collector,Universal,66518655,1999
The Final Destination,WB,66477700,2009
The League of Extraordinary Gentlemen,Fox,66465204,2003
Bowfinger,Universal,66384775,1999
Warm Bodies,Lionsgate,66380662,2013
The Parent Trap,Disney,66308518,1998
The Divergent Series: Allegiant,Lionsgate,66184051,2016
Yesterday,Universal,66152655,2019
Herbie: Fully Loaded,Disney,66023816,2005
Magic Mike XXL,WB,66013057,2015
The Manchurian Candidate,Paramount,65955630,2004
Anaconda,Sony,65885767,1997
Bad Boys,Sony,65807024,1995
Ever After: A Cinderella Story,Fox,65705771,1998
Dark Phoenix,Fox,65687489,2019
Lara Croft Tomb Raider: The Cradle of Life,Paramount,65660196,2003
Tyler Perry's Madea's Witness Protection,Lionsgate,65653242,2012
Deuce Bigalow: Male Gigolo,Disney,65538755,1999
The Taking of Pelham 1 2 3,Sony,65452312,2009
Battleship,Universal,65422625,2012
Step Up,Disney,65328121,2006
Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,Disney,65281781,2008
The Visit,Universal,65206105,2015
Jack the Giant Slayer,WB,65187603,2013
Think Like a Man Too,Screen Gems,65182182,2014
Now You See Me 2,Lionsgate,65075540,2016
Exodus: Gods and Kings,Fox,65014513,2014
Friday the 13th (2009),WB,65002019,2009
Pitch Perfect,Universal,65001093,2012
Stuart Little 2,Sony,64956806,2002
Flushed Away,Paramount,64665672,2006
L.A. Confidential,WB,64616940,1997
Chronicle (2012),Fox,64575175,2012
A Dog's Purpose,Universal,64508620,2017
The Happening,Fox,64506874,2008
The Purge,Universal,64473115,2013
Once Upon a Time in Hollywood,Sony,64467475,2019
The Wedding Ringer,Screen Gems,64460211,2015
Field of Dreams,Universal,64431625,1989
Miracle,Disney,64378093,2004
Jackass: The Movie,Paramount,64255312,2002
Down to Earth,Paramount,64186502,2001
17 Again,WB,64167069,2009
Ice Age: Collision Course,Fox,64063008,2016
Deja Vu,Disney,64038616,2006
Happy Feet Two,WB,64006466,2011
Diary of a Wimpy Kid,Fox,64003625,2010
Sky High,Disney,63946815,2005
Life,Universal,63886029,1999
Mona Lisa Smile,Sony,63860942,2003
The Shape of Water,Fox,63859435,2017
In & Out,Paramount,63856929,1997
The Fifth Element,Sony,63820180,1997
Working Girl,Fox,63779477,1988
What About Bob?,Disney,63707829,1991
Unknown,WB,63686397,2011
Babe,Universal,63658910,1995
Hope Springs,Sony,63536011,2012
Miami Vice,Universal,63450470,2006
The Time Traveler's Wife,WB,63414846,2009
Tango & Cash,WB,63408614,1989
Bewitched,Sony,63313159,2005
Saw IV,Lionsgate,63300095,2007
The Boss,Universal,63285885,2016
Dave,WB,63270710,1993
Tyler Perry's Madea's Family Reunion,Lionsgate,63257940,2006
The Holiday,Sony,63224849,2006
Rising Sun,Fox,63179523,1993
Forgetting Sarah Marshall,Universal,63172463,2008
The Sorcerer's Apprentice,Disney,63150991,2010
Beavis and Butt-Head Do America,Paramount,63118386,1996
Scent of a Woman,Universal,63095253,1992
A Nightmare on Elm Street (2010),WB,63075011,2010
The Last Song,Disney,62950384,2010
Jarhead,Universal,62658220,2005
Black Mass,WB,62575678,2015
The Fast and the Furious: Tokyo Drift,Universal,62514415,2006
The Adjustment Bureau,Universal,62495645,2011
Spy Game,Universal,62362560,2001
Underworld Awakening,Screen Gems,62321039,2012
Underworld: Evolution,Screen Gems,62318875,2006
The Wolfman,Universal,61979680,2010
Mouse Hunt,DreamWorks,61917389,1997
Ender's Game,Lionsgate,61737191,2013
Cinderella Man,Universal,61649911,2005
Deepwater Horizon,Lionsgate,61433527,2016
The Saint,Paramount,61363304,1997
Stomp the Yard,Screen Gems,61356221,2007
Rules of Engagement,Paramount,61335230,2000
Friday Night Lights,Universal,61255921,2004
The Shaggy Dog,Disney,61123569,2006
Prisoners,WB,61002302,2013
Get Him to the Greek,Universal,60974475,2010
The Devil's Advocate,WB,60944660,1997
Mission to Mars,Disney,60883407,2000
Harlem Nights,Paramount,60864870,1989
Coyote Ugly,Disney,60786269,2000
Poseidon,WB,60674817,2006
Fantasia 2000 (35mm & IMAX),Disney,60655420,2000
Three Kings,WB,60652036,1999
Jingle All the Way,Fox,60592389,1996
Kiss the Girls,Paramount,60527873,1997
After Earth,Sony,60522097,2013
Baby Mama,Universal,60494212,2008
Shanghai Knights,Disney,60476872,2003
The Lucky One,WB,60457138,2012
The Wedding Planner,Sony,60400856,2001
Scrooged,Paramount,60328558,1988
Why Him?,Fox,60323786,2016
Blockers,Universal,60311495,2018
The Cable Guy,Sony,60240295,1996
Resident Evil: Afterlife,Screen Gems,60128566,2010
Tyler Perry's Why Did I Get Married Too?,Lionsgate,60095852,2010
The American President,Sony,60079496,1995
The Family Stone,Fox,60062868,2005
Bruno,Universal,60054530,2009
Hope Floats,Fox,60053195,1998
Tooth Fairy,Fox,60022256,2010
Snow Day,Paramount,60020107,2000
The Good Shepherd,Universal,59952835,2006
Jungle 2 Jungle,Disney,59927618,1997
Little Miss Sunshine,Fox,59891098,2006
Pacific Rim Uprising,Universal,59874525,2018
The Benchwarmers,Sony,59843754,2006
Secretariat,Disney,59713955,2010
Son of God,Fox,59700064,2014
Love Actually,Universal,59696144,2003
Gothika,WB,59694580,2003
My Big Fat Greek Wedding 2,Universal,59689605,2016
The Dictator,Paramount,59650222,2012
Hellboy,Sony,59623958,2004
The Last Boy Scout,WB,59509925,1991
The Stepford Wives,Paramount,59484742,2004
The Grand Budapest Hotel,Fox,59301324,2014
The LEGO Ninjago Movie,WB,59281555,2017
Planes: Fire & Rescue,Disney,59165787,2014
Courage Under Fire,Fox,59031057,1996
Dawn of the Dead,Universal,59020957,2004
Vacation,WB,58884188,2015
Far and Away,Universal,58883840,1992
Total Recall (2012),Sony,58877969,2012
Surf's Up,Sony,58867694,2007
Behind Enemy Lines,Fox,58856790,2001
Bride Wars,Fox,58715510,2009
Water for Elephants,Fox,58709717,2011
Jack Reacher: Never Go Back,Paramount,58697076,2016
"Honey, I Blew Up the Kid",Disney,58662452,1992
Little Man,Sony,58645052,2006
Jack,Disney,58620973,1996
RoboCop (2014),Sony,58607007,2014
Sea of Love,Universal,58571513,1989
Housesitter,Universal,58500635,1992
Death Becomes Her,Universal,58422650,1992
Anastasia,Fox,58406347,1997
Easy A,Screen Gems,58401464,2010
Curious George,Universal,58360760,2006
Open Range,Disney,58331254,2003
Tomb Raider,WB,58250803,2018
The Secret Life of Walter Mitty,Fox,58236838,2013
Bicentennial Man,Disney,58223861,1999
Ali,Sony,58203105,2001
Without a Paddle,Paramount,58169327,2004
Baywatch,Paramount,58060186,2017
Demolition Man,WB,58055768,1993
Maze Runner: The Death Cure,Fox,58032443,2018
Step Up 2 the Streets,Disney,58017783,2008
The Lincoln Lawyer,Lionsgate,58009200,2011
Red Eye,DreamWorks,57891803,2005
Invincible,Disney,57806952,2006
The Chronicles of Riddick,Universal,57761012,2004
Takers,Screen Gems,57744720,2010
The Animal,Sony,57743062,2001
Fences,Paramount,57682904,2016
Memoirs of a Geisha,Sony,57490508,2005
Pet Sematary,Paramount,57469467,1989
Moulin Rouge!,Fox,57386607,2001
The Shack,Lionsgate,57386418,2017
Blood Diamond,WB,57377916,2006
The Specialist,WB,57362582,1994
Sister Act 2: Back in the Habit,Disney,57319029,1993
The Whole Nine Yards,WB,57262492,2000
13 Going on 30,Sony,57231747,2004
U.S. Marshals,WB,57167405,1998
12 Monkeys,Universal,57141459,1995
Unlawful Entry,Fox,57138719,1992
Beethoven,Universal,57114049,1992
Beaches,Disney,57041866,1988
The Perfect Guy,Screen Gems,57027435,2015
American Reunion,Universal,57011521,2012
Escape Room,Sony,57005601,2019
Shanghai Noon,Disney,56937502,2000
The Time Machine,DreamWorks,56832494,2002
Saw V,Lionsgate,56746769,2008
A Civil Action,Disney,56709981,1998
12 Years a Slave,Fox,56671993,2013
Clueless,Paramount,56631572,1995
Rat Race,Paramount,56618055,2001
A Knight's Tale,Sony,56569702,2001
Executive Decision,WB,56569216,1996
Tombstone,Disney,56505065,1993
Joy,Fox,56451232,2015
Drumline,Fox,56399184,2002
White Noise,Universal,56386759,2005
Edward Scissorhands,Fox,56362352,1990
Once Upon a Time in Mexico,Sony,56359780,2003
Dracula Untold,Universal,56280355,2014
Me Before You,WB,56245075,2016
Just Married,Fox,56127162,2003
Fantastic Four,Fox,56117548,2015
Primal Fear,Paramount,56116183,1996
Wallace and Gromit: The Curse of the Were-Rabbit,DreamWorks,56110897,2005
Romeo Must Die,WB,55973336,2000
Forever Young,WB,55956187,1992
Friends with Benefits,Screen Gems,55802754,2011
Hansel and Gretel: Witch Hunters,Paramount,55703475,2013
Eyes Wide Shut,WB,55691208,1999
Happy Death Day,Universal,55683845,2017
Legend of the Guardians: The Owls of Ga'Hoole,WB,55675313,2010
Snake Eyes,Paramount,55591409,1998
The BFG,Disney,55483770,2016
Never Been Kissed,Fox,55474756,1999
Alien 3,Fox,55473545,1992
Neighbors 2: Sorority Rising,Universal,55455765,2016
The Haunting in Connecticut,Lionsgate,55389516,2009
Ghosts of Girlfriends Past,WB,55250026,2009
Tyler Perry's Why Did I Get Married?,Lionsgate,55204525,2007
The Shallows,Sony,55124043,2016
I Am Number Four,Disney,55100437,2011
The Guardian,Disney,55011732,2006
Don't Say a Word,Fox,55001642,2001
The Jackal,Universal,54930280,1997
The Nutcracker and the Four Realms,Disney,54858851,2018
Doc Hollywood,WB,54830779,1991
Starship Troopers,Sony,54814377,1997
Office Christmas Party,Paramount,54767494,2016
This Means War,Fox,54760791,2012
The Curse of La Llorona ,WB,54733739,2019
Project X,WB,54731865,2012
Tag,WB,54730625,2018
Pet Sematary (2019),Paramount,54724696,2019
Source Code,Summit,54712227,2011
Small Soldiers,DreamWorks,54682547,1998
Assassin's Creed,Fox,54647948,2016
What Men Want,Paramount,54611903,2019
The Omen (2006),Fox,54607383,2006
New Year's Eve,WB,54544638,2011
"Three Billboards Outside Ebbing, Missouri",Fox,54513740,2017
The Abyss,Fox,54461047,1989
Horrible Bosses 2,WB,54445357,2014
The Hundred-Foot Journey,Disney,54240821,2014
The Count of Monte Cristo,Disney,54234062,2002
TMNT,WB,54149098,2007
Barbershop: The Next Cut,WB,54030051,2016
Paranormal Activity 4,Paramount,53900335,2012
The Three Musketeers (1993),Disney,53898845,1993
Focus (2015),WB,53862963,2015
Tin Cup,WB,53854588,1996
Paycheck,Paramount,53790451,2003
P.S. I Love You,WB,53695808,2007
Sabrina,Paramount,53672080,1995
Rookie of the Year,Fox,53615089,1993
3:10 to Yuma (2007),Lionsgate,53606916,2007
A Simple Favor,Lionsgate,53548586,2018
Problem Child,Universal,53470891,1990
Beethoven's 2nd,Universal,53443066,1993
"Yours, Mine and Ours",Paramount,53412862,2005
Life as We Know It,WB,53374681,2010
Tim Burton's Corpse Bride,WB,53359111,2005
Tyler Perry's Madea's Big Happy Family,Lionsgate,53345287,2011
Sleepers,WB,53315285,1996
Red 2,Lionsgate,53262560,2013
The Devil Inside,Paramount,53261944,2012
Arachnophobia,Disney,53208180,1990
The Prestige,Disney,53089891,2006
Life of the Party ,WB,53059911,2018
Letters to Juliet,Summit,53032453,2010
My Cousin Vinny,Fox,52929168,1992
Sweeney Todd: The Demon Barber of Fleet Street,Paramount,52898073,2007
Varsity Blues,Paramount,52894169,1999
Forces of Nature,DreamWorks,52888180,1999
Message in a Bottle,WB,52880016,1999
13 Hours: The Secret Soldiers of Benghazi,Paramount,52853219,2016
Kicking and Screaming,Universal,52842724,2005
The Recruit,Disney,52802140,2003
Unfaithful,Fox,52775765,2002
Diary of a Wimpy Kid: Rodrick Rules,Fox,52698535,2011
No Good Deed (2014),Screen Gems,52543632,2014
Tyler Perry's A Madea Christmas,Lionsgate,52543354,2013
Hubble 3D,WB,52496012,2010
Wall Street: Money Never Sleeps,Fox,52474616,2010
The Royal Tenenbaums,Disney,52364010,2001
Radio,Sony,52333738,2003
The Lake House,WB,52330111,2006
Star Trek V: The Final Frontier,Paramount,52210049,1989
Identity,Sony,52159536,2003
The Little Rascals,Universal,52125282,1994
Selma,Paramount,52076908,2014
The Forbidden Kingdom,Lionsgate,52075270,2008
"South Park - Bigger, Longer and Uncut",Paramount,52037603,1999
Predators,Fox,52000688,2010
Tyler Perry's Temptation: Confessions of a Marriage Counselor,Lionsgate,51975354,2013
Underworld,Screen Gems,51970690,2003
King Arthur,Disney,51882244,2004
Funny People,Universal,51855045,2009
The Odd Life of Timothy Green,Disney,51854875,2012
Finding Forrester,Sony,51804714,2000
Footloose (2011),Paramount,51802742,2011
Ghost Rider: Spirit of Vengeance,Sony,51774002,2012
Exit Wounds,WB,51758599,2001
Tyler Perry's I Can Do Bad All By Myself,Lionsgate,51733921,2009
My Bloody Valentine 3-D,Lionsgate,51545952,2009
A Cinderella Story,WB,51438175,2004
Like Mike,Fox,51432760,2002
Sneakers,Universal,51432691,1992
Enemy at the Gates,Paramount,51401758,2001
Dragonheart,Universal,51367375,1996
American Made,Universal,51342000,2017
Dennis the Menace,WB,51270765,1993
The Phantom of the Opera,WB,51268815,2004
Resident Evil: Apocalypse,Screen Gems,51201453,2004
Muppets Most Wanted,Disney,51183113,2014
The Naked Gun 33 1/3: The Final Insult,Paramount,51132598,1994
Hide and Seek,Fox,51100486,2005
Up Close and Personal,Disney,51088705,1996
The Hitchhiker's Guide to the Galaxy,Disney,51085416,2005
The Predator (2018),Fox,51024708,2018
The Tale of Despereaux,Universal,50877145,2008
Apocalypto,Disney,50866635,2006
Something to Talk About,WB,50865589,1995
The Road to El Dorado,DreamWorks,50863742,2000
Ouija,Universal,50856010,2014
Syriana,WB,50824620,2005
The Mighty Ducks,Disney,50752337,1992
The Net,Sony,50727965,1995
The Dark Tower,Sony,50701325,2017
The Hurricane,Universal,50699241,1999
Resident Evil: Extinction,Screen Gems,50648679,2007
Mighty Joe Young,Disney,50632037,1998
Jack Ryan: Shadow Recruit,Paramount,50577412,2014
Music and Lyrics,WB,50572589,2007
The Tuxedo,DreamWorks,50547998,2002
If I Stay,WB,50474843,2014
K-PAX,Universal,50338485,2001
Natural Born Killers,WB,50282766,1994
Angels in the Outfield (1994),Disney,50236831,1994
Breakdown,Paramount,50159144,1997
The Book of Life (2014),Fox,50151543,2014
Little Women (1994),Sony,50083616,1994
Sommersby,WB,50081992,1993
Sicario: Day of the Soldado,Sony,50072235,2018
Absolute Power,Sony,50068310,1997
Evita,Disney,50047179,1996
Home on the Range,Disney,50030461,2004
Under Siege 2: Dark Territory,WB,50024083,1995
When a Man Loves a Woman,Disney,50021959,1994
A Walk in the Clouds,Fox,50008143,1995
Red Tails,Fox,49876377,2012
Pain and Gain,Paramount,49875291,2013
Major League,Paramount,49797148,1989
Racing Stripes,WB,49772522,2005
Are We Done Yet?,Sony,49662533,2007
Australia,Fox,49554002,2008
Old Dogs,Disney,49492060,2009
Runaway Jury,Fox,49443628,2003
Land of the Lost,Universal,49438370,2009
Volcano,Fox,49323468,1997
My Sister's Keeper,WB,49200230,2009
The Possession,Lionsgate,49130154,2012
This Christmas,Screen Gems,49121934,2007
Michael Clayton,WB,49033882,2007
Diary of a Wimpy Kid: Dog Days,Fox,49008662,2012
Addams Family Values,Paramount,48919043,1993
Men of Honor,Fox,48818921,2000
Isn't It Romantic,WB,48791187,2019
Firewall,WB,48751189,2006
