,yr,mo,dy,date,time,st,mag,inj,fat,slat,slon,elat,elon,len,wid,ns,sn,sg
3,1950,1,13,1950-01-13,05:25:00,AR,3,1,1,34.4,-94.37,0.0,0.0,0.6,17,1,1,1
6,1950,1,26,1950-01-26,18:00:00,TX,2,2,0,26.88,-98.12,26.88,-98.05,4.7,133,1,1,1
7,1950,2,11,1950-02-11,13:10:00,TX,2,0,0,29.42,-95.25,29.52,-95.13,9.9,400,1,1,1
8,1950,2,11,1950-02-11,13:50:00,TX,3,12,1,29.67,-95.05,29.83,-95.0,12.0,1000,1,1,1
9,1950,2,11,1950-02-11,21:00:00,TX,2,5,0,32.35,-95.2,32.42,-95.2,4.6,100,1,1,1
10,1950,2,11,1950-02-11,23:55:00,TX,2,6,0,32.98,-94.63,33.0,-94.7,4.5,67,1,1,1
11,1950,2,12,1950-02-12,00:30:00,TX,2,8,1,33.33,-94.42,33.45,-94.42,8.0,833,1,1,1
12,1950,2,12,1950-02-12,01:15:00,TX,1,0,0,32.08,-98.35,32.1,-98.33,2.3,233,1,1,1
13,1950,2,12,1950-02-12,06:10:00,TX,2,0,0,31.52,-96.55,31.57,-96.55,3.4,100,1,1,1
14,1950,2,12,1950-02-12,11:57:00,TX,1,32,0,31.8,-94.2,31.88,-94.12,7.7,100,1,1,1
15,1950,2,12,1950-02-12,12:00:00,MS,2,2,3,34.6,-89.12,0.0,0.0,0.1,10,1,1,1
16,1950,2,12,1950-02-12,12:00:00,MS,1,0,0,34.6,-89.12,0.0,0.0,2.0,10,1,1,1
17,1950,2,12,1950-02-12,12:00:00,TX,3,15,3,31.8,-94.2,31.8,-94.18,1.9,50,1,1,1
18,1950,2,12,1950-02-12,12:30:00,AR,2,0,0,34.48,-92.4,0.0,0.0,0.1,100,1,1,1
22,1950,2,12,1950-02-12,15:00:00,AR,2,0,0,33.27,-92.95,33.35,-92.95,5.7,100,1,1,1
24,1950,2,13,1950-02-13,01:00:00,TN,1,8,0,35.35,-89.77,0.0,0.0,0.2,10,1,1,1
25,1950,2,13,1950-02-13,02:00:00,TN,2,1,9,35.75,-89.48,0.0,0.0,0.2,10,1,1,1
26,1950,2,27,1950-02-27,10:20:00,OK,2,0,0,35.55,-97.6,0.0,0.0,2.0,50,1,1,1
27,1950,3,1,1950-03-01,02:30:00,MS,1,0,0,32.5,-88.85,0.0,0.0,0.1,10,1,1,1
32,1950,3,26,1950-03-26,19:30:00,AR,2,3,0,34.12,-93.07,34.32,-92.88,17.4,150,1,1,1
33,1950,3,26,1950-03-26,19:31:00,AR,3,1,0,36.15,-91.83,36.2,-91.75,5.7,200,1,1,1
34,1950,3,26,1950-03-26,20:30:00,AR,2,7,0,34.7,-92.35,34.8,-92.22,10.4,600,1,1,1
35,1950,3,26,1950-03-26,21:15:00,AR,3,20,0,34.98,-91.73,35.08,-91.5,14.9,1760,1,1,1
36,1950,3,26,1950-03-26,23:30:00,AR,2,2,0,35.1,-91.4,35.15,-91.33,5.4,833,1,1,1
37,1950,3,27,1950-03-27,03:00:00,OK,2,0,0,34.85,-95.75,0.0,0.0,0.1,77,1,1,1
38,1950,3,27,1950-03-27,05:00:00,MS,2,2,1,33.17,-90.55,0.0,0.0,0.1,10,1,1,1
40,1950,3,27,1950-03-27,07:30:00,MS,2,0,0,33.13,-89.57,33.25,-89.42,11.9,10,1,1,1
41,1950,3,27,1950-03-27,07:45:00,MS,2,7,0,32.28,-90.27,32.98,-89.82,59.3,50,1,1,1
42,1950,3,27,1950-03-27,07:45:00,MS,2,6,0,32.28,-90.27,32.48,-89.78,31.9,50,1,1,1
44,1950,3,27,1950-03-27,08:45:00,MS,2,0,0,33.67,-88.78,33.72,-88.73,4.7,10,1,1,1
45,1950,3,27,1950-03-27,11:00:00,MS,1,2,0,34.73,-88.27,0.0,0.0,0.1,10,1,1,1
46,1950,3,27,1950-03-27,15:00:00,TN,1,0,0,35.68,-85.77,0.0,0.0,0.2,10,1,1,1
48,1950,4,2,1950-04-02,15:30:00,AR,3,8,1,35.75,-91.22,0.0,0.0,2.5,10,1,1,1
49,1950,4,2,1950-04-02,18:00:00,OK,2,0,0,35.82,-97.02,0.0,0.0,1.0,100,1,1,1
50,1950,4,2,1950-04-02,18:00:00,AR,1,0,0,35.98,-89.92,0.0,0.0,0.8,100,1,1,1
51,1950,4,3,1950-04-03,16:15:00,OK,1,0,0,36.13,-95.83,0.0,0.0,1.0,33,1,1,1
52,1950,4,18,1950-04-18,01:30:00,AL,3,15,0,30.67,-88.2,30.85,-88.1,14.0,100,1,1,1
53,1950,4,18,1950-04-18,01:45:00,AL,2,0,0,30.7,-87.92,0.0,0.0,2.0,150,1,1,1
56,1950,4,28,1950-04-28,14:17:00,OK,3,1,1,34.88,-99.28,35.17,-99.2,20.8,400,1,1,1
57,1950,4,28,1950-04-28,17:00:00,KS,1,0,0,38.12,-95.85,38.35,-95.63,19.8,10,1,1,1
58,1950,4,28,1950-04-28,18:00:00,TX,4,5,5,32.42,-99.5,32.42,-99.48,1.3,233,1,1,1
59,1950,4,28,1950-04-28,19:05:00,OK,4,32,5,35.08,-96.4,35.13,-96.35,4.5,200,1,1,1
60,1950,4,28,1950-04-28,19:30:00,OK,2,0,0,34.55,-96.2,0.0,0.0,0.8,100,1,1,1
61,1950,4,29,1950-04-29,12:00:00,MS,2,0,0,31.27,-89.83,31.38,-89.7,11.3,100,1,1,1
62,1950,4,29,1950-04-29,15:30:00,TX,1,0,0,31.9,-98.6,31.73,-98.6,11.5,200,1,1,1
64,1950,5,1,1950-05-01,05:00:00,MS,1,0,0,31.73,-91.07,0.0,0.0,0.1,10,1,1,1
65,1950,5,1,1950-05-01,09:00:00,MS,1,0,0,31.55,-91.38,0.0,0.0,0.1,10,1,1,1
72,1950,5,4,1950-05-04,20:00:00,KS,1,0,0,38.68,-99.32,0.0,0.0,0.1,10,1,1,1
73,1950,5,4,1950-05-04,20:30:00,TX,2,13,1,36.4,-100.8,36.42,-100.77,1.9,50,1,1,1
74,1950,5,4,1950-05-04,21:00:00,IA,1,0,0,40.95,-95.73,0.0,0.0,0.1,10,1,1,1
75,1950,5,4,1950-05-04,21:30:00,OK,2,0,0,35.25,-99.55,35.32,-99.5,5.6,293,1,1,1
76,1950,5,4,1950-05-04,21:30:00,OK,1,0,0,35.58,-99.17,0.0,0.0,0.1,10,1,1,1
77,1950,5,4,1950-05-04,21:45:00,OK,2,0,0,36.57,-99.57,0.0,0.0,1.0,100,1,1,1
78,1950,5,4,1950-05-04,23:10:00,KS,4,1,0,38.03,-99.12,38.45,-98.78,34.3,150,1,1,1
79,1950,5,5,1950-05-05,03:30:00,KS,3,12,0,39.62,-95.62,39.85,-95.52,17.3,440,1,1,1
80,1950,5,7,1950-05-07,18:30:00,OK,1,0,0,36.3,-99.8,0.0,0.0,0.1,10,1,1,1
81,1950,5,7,1950-05-07,23:00:00,OK,2,3,0,36.12,-97.83,36.17,-97.78,4.3,10,1,1,1
82,1950,5,7,1950-05-07,23:00:00,OK,1,0,0,36.0,-97.0,0.0,0.0,0.1,10,1,1,1
85,1950,5,8,1950-05-08,18:30:00,KS,2,0,0,39.35,-98.48,39.47,-98.3,12.6,660,1,1,1
86,1950,5,8,1950-05-08,19:00:00,KS,2,1,0,39.57,-98.3,39.63,-98.2,6.8,10,1,1,1
87,1950,5,8,1950-05-08,19:20:00,IA,2,0,0,41.03,-95.27,41.02,-95.22,0.1,200,1,1,1
88,1950,5,8,1950-05-08,19:30:00,KS,2,2,0,39.23,-98.95,39.23,-98.58,19.6,440,1,1,1
89,1950,5,8,1950-05-08,21:17:00,KS,1,1,0,39.4,-97.65,0.0,0.0,0.1,10,1,1,1
90,1950,5,8,1950-05-08,21:30:00,KS,1,0,0,39.72,-97.77,0.0,0.0,0.1,10,1,1,1
92,1950,5,9,1950-05-09,00:01:00,KS,1,0,0,39.2,-96.58,0.0,0.0,0.1,10,1,1,1
93,1950,5,9,1950-05-09,20:20:00,OK,1,0,0,34.77,-96.83,0.0,0.0,0.8,200,1,1,1
95,1950,5,11,1950-05-11,18:30:00,OK,1,0,0,36.82,-100.52,0.0,0.0,0.5,77,1,1,1
100,1950,5,14,1950-05-14,16:00:00,TX,1,0,0,29.53,-95.45,0.0,0.0,1.0,100,1,1,1
103,1950,5,15,1950-05-15,00:01:00,TX,2,0,0,29.78,-98.83,29.67,-98.57,18.0,10,1,1,1
106,1950,5,16,1950-05-16,18:00:00,KS,2,0,0,37.55,-98.42,0.0,0.0,0.2,200,1,1,1
107,1950,5,16,1950-05-16,19:30:00,OK,1,1,0,35.82,-99.12,35.87,-99.0,7.3,100,1,1,1
109,1950,5,18,1950-05-18,19:00:00,KS,3,2,0,38.12,-96.82,38.33,-96.82,14.9,100,1,1,1
110,1950,5,18,1950-05-18,19:00:00,KS,0,0,0,39.85,-98.3,0.0,0.0,0.1,10,1,1,1
111,1950,5,19,1950-05-19,01:30:00,KS,0,0,0,37.82,-96.85,0.0,0.0,0.1,10,1,1,1
112,1950,5,22,1950-05-22,12:39:00,OK,1,0,0,35.67,-99.23,0.0,0.0,1.5,100,1,1,1
113,1950,5,23,1950-05-23,18:00:00,KS,0,0,0,39.75,-99.32,0.0,0.0,0.2,250,1,1,1
114,1950,5,24,1950-05-24,13:30:00,KS,2,1,0,37.27,-99.48,37.28,-99.42,3.6,77,1,1,1
115,1950,5,24,1950-05-24,17:30:00,KS,1,0,0,39.38,-96.97,39.45,-96.78,10.7,40,1,1,1
116,1950,5,24,1950-05-24,21:30:00,OK,2,2,0,36.45,-99.03,0.0,0.0,1.0,33,1,1,1
117,1950,5,25,1950-05-25,16:30:00,TX,1,0,0,32.67,-101.88,32.65,-101.85,3.0,880,1,1,1
118,1950,5,29,1950-05-29,14:48:00,OK,1,0,0,36.38,-95.27,0.0,0.0,1.0,33,1,1,1
119,1950,5,29,1950-05-29,17:00:00,TX,1,0,0,33.35,-96.92,33.3,-96.92,3.4,267,1,1,1
124,1950,6,3,1950-06-03,01:00:00,MS,3,1,2,33.08,-89.58,0.0,0.0,2.0,50,1,1,1
127,1950,6,5,1950-06-05,15:55:00,TX,3,6,0,30.18,-96.4,30.02,-96.05,23.9,67,1,1,1
128,1950,6,5,1950-06-05,16:00:00,TX,1,2,0,29.9,-96.4,29.72,-96.07,23.7,10,1,1,1
131,1950,6,8,1950-06-08,20:10:00,KS,4,5,1,38.33,-97.93,38.33,-97.6,17.1,700,1,1,1
133,1950,6,9,1950-06-09,18:25:00,OK,1,0,0,36.8,-97.25,0.0,0.0,0.1,100,1,1,1
141,1950,6,15,1950-06-15,20:00:00,IA,3,5,0,41.98,-93.6,41.97,-93.48,5.6,300,1,1,1
142,1950,6,16,1950-06-16,15:30:00,KS,1,0,0,38.28,-101.28,38.7,-101.13,29.9,10,1,1,1
143,1950,6,19,1950-06-19,20:40:00,TX,0,0,0,36.08,-102.53,36.08,-102.25,15.8,167,1,1,1
145,1950,6,25,1950-06-25,18:45:00,KS,0,0,0,37.77,-97.47,0.0,0.0,0.1,10,1,1,1
150,1950,6,25,1950-06-25,21:00:00,KS,0,0,0,39.5,-99.62,0.0,0.0,0.1,10,1,1,1
152,1950,7,1,1950-07-01,12:00:00,KS,2,0,0,38.7,-97.08,0.0,0.0,0.1,10,1,1,1
153,1950,7,1,1950-07-01,12:00:00,KS,1,1,0,39.3,-96.92,0.0,0.0,0.1,10,1,1,1
154,1950,7,1,1950-07-01,20:00:00,IA,2,0,0,42.45,-91.92,0.0,0.0,14.0,10,1,1,1
155,1950,7,2,1950-07-02,19:00:00,KS,2,0,0,38.47,-100.88,0.0,0.0,1.0,90,1,1,1
159,1950,7,8,1950-07-08,22:45:00,KS,1,0,0,39.82,-96.8,0.0,0.0,1.0,90,1,1,1
165,1950,7,18,1950-07-18,16:30:00,KS,1,0,0,37.68,-95.52,0.0,0.0,0.1,10,1,1,1
177,1950,8,6,1950-08-06,15:00:00,KS,1,0,0,39.93,-101.0,0.0,0.0,0.1,10,1,1,1
178,1950,8,6,1950-08-06,18:00:00,KS,2,0,0,37.97,-100.77,0.0,0.0,0.1,10,1,1,1
179,1950,8,6,1950-08-06,18:30:00,KS,2,0,0,39.13,-100.63,39.12,-100.47,8.7,10,1,1,1
183,1950,8,24,1950-08-24,03:45:00,AR,2,7,0,34.4,-91.43,34.43,-91.38,3.6,200,1,1,1
184,1950,8,28,1950-08-28,14:50:00,KS,1,0,0,37.47,-100.82,37.42,-100.7,7.2,10,1,1,1
188,1950,9,15,1950-09-15,17:45:00,OK,2,6,0,35.0,-96.25,35.07,-96.17,6.8,100,1,1,1
189,1950,9,16,1950-09-16,01:30:00,OK,0,0,0,34.83,-95.85,0.0,0.0,0.1,10,1,1,1
191,1950,10,1,1950-10-01,21:00:00,OK,1,0,0,36.73,-102.52,36.88,-102.3,15.8,10,1,1,1
194,1950,11,20,1950-11-20,02:20:00,KY,2,0,0,37.37,-87.2,0.0,0.0,0.1,10,1,1,1
195,1950,11,20,1950-11-20,04:00:00,KY,1,0,0,38.2,-84.5,0.0,0.0,0.1,10,1,1,1
196,1950,11,20,1950-11-20,07:30:00,MS,1,3,0,32.42,-89.13,0.0,0.0,2.0,37,1,1,1
199,1950,12,2,1950-12-02,16:25:00,AR,3,0,0,36.12,-91.83,36.18,-91.72,7.8,10,1,1,1
206,1951,2,19,1951-02-19,18:30:00,OK,2,5,0,35.27,-98.18,35.83,-97.83,43.9,20,1,1,1
207,1951,2,19,1951-02-19,22:00:00,OK,0,0,0,35.15,-97.45,0.0,0.0,0.1,100,1,1,1
208,1951,2,20,1951-02-20,09:15:00,AR,2,3,0,34.6,-92.02,35.55,-90.4,112.8,333,1,1,1
209,1951,2,20,1951-02-20,15:00:00,MS,3,1,1,33.45,-88.87,0.0,0.0,0.1,10,1,1,1
210,1951,2,20,1951-02-20,15:00:00,MS,1,0,0,33.47,-88.48,0.0,0.0,0.1,10,1,1,1
211,1951,2,20,1951-02-20,16:00:00,AL,2,2,0,33.67,-87.7,0.0,0.0,0.1,123,1,1,1
212,1951,2,20,1951-02-20,18:00:00,KY,2,0,0,38.27,-85.05,0.0,0.0,0.1,73,1,1,1
213,1951,3,2,1951-03-02,16:00:00,KS,3,0,0,39.43,-98.55,39.6,-97.87,38.1,10,1,1,1
214,1951,3,2,1951-03-02,20:30:00,KS,0,0,0,39.83,-95.72,0.0,0.0,0.1,10,1,1,1
216,1951,3,28,1951-03-28,05:10:00,TX,1,0,0,31.37,-95.6,0.0,0.0,0.5,17,1,1,1
219,1951,4,5,1951-04-05,13:20:00,OK,2,0,0,35.32,-97.55,35.37,-97.47,5.7,127,1,1,1
220,1951,4,5,1951-04-05,13:22:00,OK,2,2,0,35.23,-97.72,0.0,0.0,0.2,100,1,1,1
221,1951,4,5,1951-04-05,16:45:00,OK,2,2,0,36.53,-98.92,36.57,-98.87,3.6,33,1,1,1
222,1951,4,20,1951-04-20,15:10:00,TX,2,0,0,33.92,-98.45,0.0,0.0,1.5,17,1,1,1
223,1951,4,20,1951-04-20,15:30:00,KS,0,0,0,37.12,-101.77,0.0,0.0,0.1,10,1,1,1
224,1951,4,21,1951-04-21,12:00:00,MS,1,0,0,32.07,-89.52,0.0,0.0,0.1,10,1,1,1
227,1951,4,21,1951-04-21,19:25:00,MS,3,16,2,31.68,-89.25,32.15,-89.12,33.5,10,1,1,1
228,1951,4,24,1951-04-24,17:30:00,OK,0,0,0,35.78,-99.0,0.0,0.0,0.1,10,1,1,1
229,1951,4,24,1951-04-24,18:03:00,OK,1,0,0,34.63,-99.6,0.0,0.0,2.5,10,1,1,1
230,1951,4,24,1951-04-24,21:00:00,OK,1,0,0,36.75,-97.4,0.0,0.0,0.1,10,1,1,1
231,1951,4,26,1951-04-26,18:10:00,KS,0,0,0,37.47,-101.52,37.73,-101.1,29.2,10,1,1,1
232,1951,4,26,1951-04-26,18:15:00,KS,1,0,0,37.17,-101.62,0.0,0.0,0.1,10,1,1,1
233,1951,4,26,1951-04-26,19:15:00,KS,0,0,0,37.07,-100.93,0.0,0.0,1.0,10,1,1,1
234,1951,4,26,1951-04-26,19:15:00,OK,1,0,0,36.82,-100.53,0.0,0.0,0.1,10,1,1,1
235,1951,4,26,1951-04-26,19:30:00,KS,1,0,0,37.08,-101.77,0.0,0.0,0.1,10,1,1,1
236,1951,4,27,1951-04-27,14:20:00,OK,1,2,0,36.33,-98.2,0.0,0.0,0.8,200,1,1,1
239,1951,4,30,1951-04-30,05:30:00,KS,3,0,0,37.63,-98.75,37.77,-98.58,12.8,440,1,1,1
241,1951,4,30,1951-04-30,20:30:00,OK,1,0,0,34.62,-98.08,0.0,0.0,0.1,10,1,1,1
242,1951,4,30,1951-04-30,21:30:00,OK,3,0,0,35.43,-97.58,35.5,-97.48,7.4,200,1,1,1
243,1951,4,30,1951-04-30,21:30:00,OK,2,0,0,35.5,-97.58,0.0,0.0,1.5,200,1,1,1
244,1951,4,30,1951-04-30,23:45:00,KS,0,0,0,37.1,-96.5,0.0,0.0,0.1,10,1,1,1
245,1951,5,2,1951-05-02,19:30:00,KS,1,0,0,39.03,-95.8,0.0,0.0,0.1,10,1,1,1
246,1951,5,2,1951-05-02,20:30:00,KS,1,0,0,39.4,-95.4,0.0,0.0,0.1,10,1,1,1
248,1951,5,8,1951-05-08,18:00:00,KS,1,0,0,38.38,-101.55,0.0,0.0,0.1,10,1,1,1
249,1951,5,9,1951-05-09,07:00:00,KS,1,0,0,39.3,-95.5,39.33,-95.47,2.3,10,1,1,1
250,1951,5,9,1951-05-09,17:00:00,TX,2,0,0,33.93,-98.68,33.93,-98.77,4.9,33,1,1,1
251,1951,5,9,1951-05-09,18:30:00,OK,1,0,0,34.45,-98.32,0.0,0.0,0.1,10,1,1,1
252,1951,5,9,1951-05-09,20:20:00,OK,2,1,0,34.0,-96.6,34.18,-96.47,14.8,100,1,1,1
253,1951,5,9,1951-05-09,21:00:00,KS,0,0,0,38.78,-95.55,0.0,0.0,0.1,10,1,1,1
257,1951,5,13,1951-05-13,22:00:00,KS,1,0,0,39.08,-99.5,0.0,0.0,0.1,10,1,1,1
258,1951,5,14,1951-05-14,17:30:00,KS,2,0,0,39.37,-101.37,0.0,0.0,0.1,10,1,1,1
259,1951,5,14,1951-05-14,18:00:00,OK,2,0,0,36.9,-101.9,0.0,0.0,0.1,10,1,1,1
260,1951,5,14,1951-05-14,18:00:00,OK,2,0,0,36.87,-101.9,0.0,0.0,0.1,10,1,1,1
261,1951,5,14,1951-05-14,18:30:00,KS,2,0,0,37.0,-101.9,0.0,0.0,0.1,10,1,1,1
262,1951,5,14,1951-05-14,19:30:00,KS,3,4,0,39.78,-101.33,0.0,0.0,0.1,10,1,1,1
263,1951,5,15,1951-05-15,18:30:00,TX,1,0,0,34.5,-102.3,0.0,0.0,0.1,10,1,1,1
264,1951,5,16,1951-05-16,10:00:00,OK,0,0,0,35.2,-99.87,0.0,0.0,0.1,10,1,1,1
266,1951,5,18,1951-05-18,15:45:00,TX,4,100,2,33.42,-98.75,0.0,0.0,2.0,200,1,1,1
267,1951,5,18,1951-05-18,17:30:00,OK,1,0,0,34.78,-98.28,0.0,0.0,0.1,10,1,1,1
268,1951,5,18,1951-05-18,17:30:00,OK,1,0,0,34.78,-98.27,0.0,0.0,0.1,10,1,1,1
269,1951,5,18,1951-05-18,17:30:00,OK,1,0,0,34.78,-98.23,0.0,0.0,0.1,10,1,1,1
270,1951,5,19,1951-05-19,19:15:00,OK,1,0,0,35.33,-99.87,0.0,0.0,0.1,10,1,1,1
271,1951,5,19,1951-05-19,19:30:00,OK,2,0,0,36.0,-98.95,0.0,0.0,2.0,67,1,1,1
272,1951,5,19,1951-05-19,20:12:00,OK,0,0,0,35.43,-99.63,0.0,0.0,0.1,220,1,1,1
276,1951,5,20,1951-05-20,19:00:00,KS,3,0,0,37.9,-101.2,38.02,-101.02,12.8,900,1,1,1
277,1951,5,20,1951-05-20,19:00:00,KS,2,0,0,37.97,-101.25,0.0,0.0,1.0,10,1,1,1
278,1951,5,20,1951-05-20,19:00:00,KS,3,0,0,39.78,-101.38,0.0,0.0,0.1,10,1,1,1
279,1951,5,21,1951-05-21,01:00:00,KS,2,0,0,39.03,-96.97,0.0,0.0,0.1,10,1,1,1
280,1951,5,21,1951-05-21,19:00:00,KS,1,0,0,37.53,-101.75,0.0,0.0,0.1,10,1,1,1
283,1951,5,24,1951-05-24,17:00:00,TX,1,0,1,33.37,-99.9,0.0,0.0,0.5,20,1,1,1
284,1951,5,25,1951-05-25,14:30:00,KS,1,0,0,39.45,-97.5,0.0,0.0,0.1,10,1,1,1
285,1951,5,25,1951-05-25,16:00:00,KS,3,0,1,39.27,-97.18,39.32,-97.13,4.1,440,1,1,1
286,1951,5,25,1951-05-25,18:00:00,KS,2,0,0,39.93,-97.43,0.0,0.0,0.1,10,1,1,1
292,1951,5,30,1951-05-30,20:00:00,KS,1,0,0,38.83,-99.27,38.87,-99.32,3.0,10,1,1,1
293,1951,5,30,1951-05-30,22:50:00,KS,1,0,0,39.13,-97.05,39.22,-96.93,8.3,10,1,1,1
294,1951,5,30,1951-05-30,22:50:00,KS,0,0,0,39.28,-97.02,0.0,0.0,0.1,10,1,1,1
295,1951,5,30,1951-05-30,22:50:00,KS,1,0,0,39.35,-96.45,39.4,-96.32,7.7,10,1,1,1
296,1951,5,30,1951-05-30,22:50:00,KS,0,0,0,39.47,-95.73,0.0,0.0,0.1,10,1,1,1
297,1951,5,30,1951-05-30,22:50:00,KS,0,0,0,39.4,-96.03,0.0,0.0,0.1,10,1,1,1
298,1951,5,30,1951-05-30,22:50:00,KS,0,0,0,39.25,-96.58,0.0,0.0,0.1,10,1,1,1
299,1951,5,30,1951-05-30,22:50:00,KS,0,0,0,39.4,-97.18,0.0,0.0,0.1,10,1,1,1
300,1951,5,31,1951-05-31,16:00:00,TX,1,0,0,35.77,-101.38,0.0,0.0,0.5,17,1,1,1
301,1951,5,31,1951-05-31,23:45:00,KS,2,0,0,39.37,-95.4,39.4,-95.35,3.0,440,1,1,1
303,1951,6,1,1951-06-01,20:00:00,KS,1,0,0,39.73,-97.98,39.78,-97.78,11.0,10,1,1,1
304,1951,6,1,1951-06-01,21:15:00,IA,3,7,0,42.07,-92.92,0.0,0.0,1.5,880,1,1,1
306,1951,6,5,1951-06-05,18:00:00,OK,2,0,0,36.53,-101.8,0.0,0.0,0.1,10,1,1,1
308,1951,6,6,1951-06-06,16:30:00,KS,2,3,0,37.58,-101.33,0.0,0.0,0.1,10,1,1,1
309,1951,6,6,1951-06-06,18:00:00,KS,1,0,0,38.88,-99.92,38.93,-99.88,3.0,400,1,1,1
310,1951,6,6,1951-06-06,18:20:00,TX,1,0,0,35.23,-101.82,0.0,0.0,0.1,10,1,1,1
311,1951,6,6,1951-06-06,18:50:00,TX,0,0,0,35.62,-101.47,0.0,0.0,0.1,10,1,1,1
312,1951,6,6,1951-06-06,19:30:00,KS,3,3,0,37.58,-101.37,37.03,-100.93,44.8,10,1,1,1
313,1951,6,6,1951-06-06,19:30:00,KS,0,0,0,37.77,-98.57,0.0,0.0,0.1,10,1,1,1
314,1951,6,6,1951-06-06,19:30:00,KS,0,0,0,37.52,-98.82,0.0,0.0,0.1,10,1,1,1
315,1951,6,6,1951-06-06,19:30:00,KS,1,0,0,37.63,-98.9,37.65,-98.73,9.0,10,1,1,1
316,1951,6,6,1951-06-06,19:30:00,KS,1,0,0,37.78,-98.87,0.0,0.0,0.1,10,1,1,1
317,1951,6,6,1951-06-06,20:00:00,KS,1,0,0,39.18,-99.03,0.0,0.0,0.1,10,1,1,1
318,1951,6,6,1951-06-06,20:06:00,TX,3,12,0,35.43,-101.18,35.32,-101.07,10.4,100,1,1,1
319,1951,6,6,1951-06-06,20:40:00,TX,0,0,0,35.55,-100.97,0.0,0.0,0.1,10,1,1,1
320,1951,6,6,1951-06-06,20:50:00,TX,2,0,0,34.43,-100.2,34.43,-100.13,3.6,1760,1,1,1
321,1951,6,6,1951-06-06,21:30:00,OK,0,0,0,34.83,-99.47,0.0,0.0,0.2,33,1,1,1
322,1951,6,6,1951-06-06,22:00:00,KS,1,0,0,37.68,-97.12,0.0,0.0,0.1,10,1,1,1
323,1951,6,6,1951-06-06,23:50:00,OK,2,0,0,34.7,-97.7,34.73,-97.65,3.8,450,1,1,1
324,1951,6,7,1951-06-07,17:00:00,OK,2,0,0,34.5,-99.0,0.0,0.0,0.5,100,1,1,1
325,1951,6,7,1951-06-07,18:15:00,OK,1,1,0,36.45,-95.75,36.48,-95.65,5.7,33,1,1,1
326,1951,6,7,1951-06-07,22:55:00,OK,2,1,0,35.57,-95.27,0.0,0.0,0.1,10,1,1,1
327,1951,6,8,1951-06-08,09:00:00,AL,2,2,0,34.97,-86.43,0.0,0.0,0.1,100,1,1,1
328,1951,6,8,1951-06-08,13:30:00,KS,1,0,0,38.42,-95.62,0.0,0.0,0.8,600,1,1,1
329,1951,6,8,1951-06-08,17:00:00,KS,2,0,0,38.88,-95.35,0.0,0.0,0.1,10,1,1,1
331,1951,6,8,1951-06-08,18:30:00,OK,3,0,0,35.38,-98.8,35.33,-98.62,10.9,173,1,1,1
332,1951,6,8,1951-06-08,19:14:00,OK,1,0,0,36.67,-97.33,0.0,0.0,0.3,200,1,1,1
333,1951,6,8,1951-06-08,19:15:00,OK,1,0,0,34.37,-98.72,0.0,0.0,0.1,10,1,1,1
334,1951,6,9,1951-06-09,05:30:00,MS,0,0,0,32.9,-90.72,0.0,0.0,2.0,10,1,1,1
340,1951,6,15,1951-06-15,19:15:00,KS,0,0,0,39.07,-95.82,0.0,0.0,0.5,100,1,1,1
341,1951,6,15,1951-06-15,22:20:00,TX,1,6,0,32.45,-100.02,32.45,-99.93,4.9,20,1,1,1
342,1951,6,16,1951-06-16,00:30:00,TX,2,0,0,32.45,-97.42,32.45,-97.17,14.5,20,1,1,1
343,1951,6,17,1951-06-17,15:00:00,KS,0,0,0,38.0,-101.78,0.0,0.0,0.1,10,1,1,1
344,1951,6,17,1951-06-17,22:00:00,KS,0,0,0,39.07,-100.23,0.0,0.0,0.7,10,1,1,1
345,1951,6,17,1951-06-17,22:30:00,KS,0,0,0,39.07,-100.3,0.0,0.0,0.1,10,1,1,1
346,1951,6,17,1951-06-17,23:00:00,KS,0,0,0,38.62,-95.08,0.0,0.0,0.1,10,1,1,1
348,1951,6,19,1951-06-19,16:00:00,IA,1,0,0,43.38,-96.25,0.0,0.0,0.5,17,1,1,1
351,1951,6,19,1951-06-19,18:00:00,KS,0,0,0,37.1,-99.1,0.0,0.0,0.1,10,1,1,1
353,1951,6,20,1951-06-20,22:00:00,KS,2,0,0,38.47,-101.37,38.48,-100.47,48.6,10,1,1,1
354,1951,6,20,1951-06-20,22:00:00,KS,1,0,0,39.28,-100.95,0.0,0.0,0.1,10,1,1,1
355,1951,6,20,1951-06-20,23:20:00,OK,1,0,0,36.3,-98.18,0.0,0.0,0.1,10,1,1,1
356,1951,6,21,1951-06-21,01:00:00,KS,1,0,0,39.37,-98.88,39.4,-98.47,22.2,10,1,1,1
357,1951,6,21,1951-06-21,17:00:00,OK,1,0,0,36.63,-102.78,36.67,-102.72,4.3,10,1,1,1
359,1951,6,21,1951-06-21,23:00:00,KS,2,0,0,38.53,-99.32,0.0,0.0,0.1,10,1,1,1
360,1951,6,22,1951-06-22,02:00:00,KS,0,0,0,37.83,-96.3,0.0,0.0,0.1,10,1,1,1
362,1951,6,23,1951-06-23,22:00:00,KS,2,5,1,37.18,-101.35,0.0,0.0,0.1,10,1,1,1
363,1951,6,23,1951-06-23,22:00:00,KS,1,0,1,37.12,-101.62,0.0,0.0,0.1,10,1,1,1
